,AAPL,MSFT,AMZN,GOOGL,JNJ,XOM,JPM,KO,PG,CAT
AAPL,1.0,0.6389434480585823,0.542781524051996,0.5761115785499953,0.2973494200166611,0.26980688450085394,0.4094275472772039,0.3509602228338021,0.36319827857637266,0.3517819907875808
MSFT,0.6389434480585823,1.0,0.6380540090260605,0.6327304372251851,0.23785284947175142,0.20638915363636098,0.3936423076248074,0.30536803063648377,0.32878755998622516,0.29113502241052536
AMZN,0.542781524051996,0.6380540090260605,1.0,0.6265886100052915,0.11081563438157326,0.12191259261165553,0.29503712754333083,0.14385235754350534,0.19159870181408134,0.27594949622359305
GOOGL,0.5761115785499953,0.6327304372251851,0.6265886100052915,1.0,0.21347624894313416,0.2086326346291212,0.3874072945860223,0.25933356114845163,0.25900051900967247,0.35421725778944196
JNJ,0.2973494200166611,0.23785284947175142,0.11081563438157326,0.21347624894313416,1.0,0.266706687018134,0.3263354123686233,0.5160192359246163,0.5418905335937761,0.2512029635436547
XOM,0.26980688450085394,0.20638915363636098,0.12191259261165553,0.2086326346291212,0.266706687018134,1.0,0.5076219839135142,0.3568568961994698,0.19026407965845035,0.48198267386451527
JPM,0.4094275472772039,0.3936423076248074,0.29503712754333083,0.3874072945860223,0.3263354123686233,0.5076219839135142,1.0,0.4125285093389351,0.3055710603592151,0.5901250562038876
KO,0.3509602228338021,0.30536803063648377,0.14385235754350534,0.25933356114845163,0.5160192359246163,0.3568568961994698,0.4125285093389351,1.0,0.6188204785300804,0.26154784749454707
PG,0.36319827857637266,0.32878755998622516,0.19159870181408134,0.25900051900967247,0.5418905335937761,0.19026407965845035,0.3055710603592151,0.6188204785300804,1.0,0.19758655801383507
CAT,0.3517819907875808,0.29113502241052536,0.27594949622359305,0.35421725778944196,0.2512029635436547,0.48198267386451527,0.5901250562038876,0.26154784749454707,0.19758655801383507,1.0
